Date,Open,High,Low,Close,Adj Close,Volume
2021-01-26,48.130001,52.189999,48.020000,49.669998,49.669998,29448500
2021-01-27,50.639999,50.849998,47.980000,48.189999,48.189999,22427000
2021-01-28,49.490002,52.250000,49.270000,51.570000,51.570000,19974000
2021-01-29,51.020000,52.990002,49.880001,50.529999,50.529999,17321500
2021-02-01,51.200001,52.750000,51.070000,52.660000,52.660000,13820700
2021-02-02,52.869999,54.869999,52.709999,54.000000,54.000000,13977000
2021-02-03,54.560001,55.189999,53.700001,54.580002,54.580002,16816300
2021-02-04,54.790001,56.520000,54.439999,56.509998,56.509998,10999300
2021-02-05,56.020000,57.439999,55.029999,56.779999,56.779999,16889700
2021-02-08,57.799999,59.599998,57.380001,58.200001,58.200001,18285200
2021-02-09,58.639999,60.730000,58.549999,59.869999,59.869999,38253800
2021-02-10,65.800003,69.250000,63.200001,67.769997,67.769997,73649200
2021-02-11,67.989998,69.019997,66.580002,68.559998,68.559998,30470000
2021-02-12,68.559998,73.180000,68.400002,71.900002,71.900002,38044200
2021-02-16,72.190002,74.839996,71.809998,73.959999,73.959999,27748000
2021-02-17,73.050003,73.279999,70.129997,71.790001,71.790001,21422600
2021-02-18,70.739998,72.900002,70.360001,72.260002,72.260002,16072100
2021-02-19,72.970001,74.959999,71.879997,72.279999,72.279999,25911000
2021-02-22,71.730003,73.750000,70.419998,70.489998,70.489998,21049600
2021-02-23,68.449997,74.330002,66.190002,73.169998,73.169998,32669500
2021-02-24,73.099998,73.949997,71.709999,71.919998,71.919998,18309900
2021-02-25,78.150002,80.750000,73.889999,74.589996,74.589996,63625700
2021-02-26,76.870003,79.080002,75.000000,77.059998,77.059998,35323500
2021-03-01,78.360001,78.730003,76.050003,77.629997,77.629997,24359200
2021-03-02,76.610001,77.099998,73.559998,73.669998,73.669998,20517000
2021-03-03,74.010002,74.500000,70.660004,70.860001,70.860001,19379400
2021-03-04,70.610001,71.779999,66.019997,66.750000,66.750000,22538600
2021-03-05,67.669998,67.790001,61.520000,66.949997,66.949997,22346200
2021-03-08,67.400002,68.639999,63.419998,63.480000,63.480000,21722000
2021-03-09,65.720001,68.209999,64.599998,67.519997,67.519997,22603900
2021-03-10,69.459999,69.459999,64.589996,64.830002,64.830002,22464200
2021-03-11,66.370003,68.739998,65.830002,68.459999,68.459999,14722200
2021-03-12,67.720001,68.820000,66.639999,68.099998,68.099998,15414000
2021-03-15,68.239998,70.489998,67.180000,70.279999,70.279999,15467200
2021-03-16,71.070000,71.860001,68.570000,69.250000,69.250000,13216100
2021-03-17,68.320000,70.820000,66.959999,70.199997,70.199997,15681600
2021-03-18,69.209999,69.900002,66.680000,66.720001,66.720001,15835600
2021-03-19,67.110001,67.110001,65.769997,66.230003,66.230003,20721600
2021-03-22,66.889999,66.889999,64.349998,65.209999,65.209999,24123800
2021-03-23,65.150002,65.629997,64.110001,64.269997,64.269997,17788600
2021-03-24,64.949997,64.949997,62.049999,62.060001,62.060001,15475500
2021-03-25,60.200001,62.009998,59.570000,61.200001,61.200001,19197200
2021-03-26,61.520000,61.869999,59.279999,61.259998,61.259998,15582600
2021-03-29,62.000000,64.959999,61.709999,62.939999,62.939999,22034500
